Code,Degree,DegreeId,UniversityId,Academic Level Id,AmbitId,Academic Year
4310231,Biotecnología Alimentaria,012c5c84ec1e53fe97112bf627b2832b,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
4312879,Biotecnología Aplicada a la Conservación y Gestión Sostenible de Recursos Vegetales,e68ceb769c27b84a0e0377134d6b4c32,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
4312878,Biotecnología del Medio Ambiente y la Salud,c549239c64e888f634a8232756162f7c,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
4313658,Ciencia y Tecnología de Materiales,1e7f4cffba8eafaffecf803f2c6842db,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4312880,Ciencias Analíticas y Bioanalíticas,1c5b5fc814939d3d0b1e3d2a6551ccc5,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
4315571,Conservación Marina,acbaca976fd60d547965ace6d0dcb992,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
4312882,Conversión de Energía Eléctrica y Sistemas de Potencia,5b557efbfa0eefe21fbb6e274d3fa664,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4312881,Dirección y Planificación del Turismo,dc09c1cc022477a4d94f17b11ea78453,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4312883,Enfermería de Urgencias y Cuidados Críticos,1c3224feb054b1203635153378950850,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
4312885,Enseñanza Integrada de Lengua Inglesa y Contenidos: Educación Infantil y Primaria,14fdc9a7eb7a5358d31dc56f9509e613,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4310541,Español como Lengua Extranjera,c3cfbd96e1aff09350b134bb321e618f,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
4316693,Estudios Avanzados en Historia del Arte: Investigación y Gestión,98dc590b828955e6d3028dbac271630f,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
4316415,Estudios de Economía Sectorial,f59ec1db6fe410fd57d7a5a38e3d0025,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4316741,"Física Avanzada: Partículas, Astrofísica, Nanofísica y Materiales Cuánticos",c9addc0f45542cac12597c51ecb63ce8,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
4310551,"Formación del Profesorado de Educación Secundaria Obligatoria, Bachillerato y Formación Profesional",121903dd54f68dc476beb0f80c8bda37,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4310232,Género y Diversidad,1b0459db19d8f90501162f9bbf390dd7,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
4316717,Geotecnología y Desarrollo de Proyectos SIG,9ab02ff3396cb2df60a29fc5bb27828c,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4310543,Historia y Análisis Sociocultural,91f38802e41f2f96e3d08bc82932aef1,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
4313659,Ingeniería de Automatización e Informática Industrial,a49fbfd2d1284034e72c80b2e572dea0,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4316021,"Ingeniería de Caminos, Canales y Puertos",66478d5666f6ccaf8769fb82e8acedcf,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4314925,Ingeniería de Minas,d9f1fb1353ff414a050a71c2c222f07e,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4314927,Ingeniería de Telecomunicación,9df2d2056faf318584946d24b88645ab,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4310560,Ingeniería Energética,1fabbc0a960bb024c2e58cf8a995afc3,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4317391,Ingeniería Industrial,4e0feda5433883c7bda51f342fa8da12,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
