Date,Year,Month,Day,DOW,Public holiday,Adelaide,Brisbane,Canberra,Darwin,Hobart,Melbourne,Perth,Sydney,Number,National_holiday
10/23/2020,2020,10,23,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE
11/3/2020,2020,11,3,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2020,2020,12,25,Friday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE
12/26/2020,2020,12,26,Saturday,Boxing Day & Proclamation Day,,1,1,1,,1,1,1,6,FALSE
12/28/2020,2020,12,28,Monday,Boxing Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/1/2021,2021,1,1,Friday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE
1/26/2021,2021,1,26,Tuesday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/8/2021,2021,2,8,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/1/2021,2021,3,1,Monday,Labour Day,,,,,,,1,,1,FALSE
3/8/2021,2021,3,8,Monday,"Canberra Day, Eight Hours Day, Labour Day & March Public Holiday",1,,1,,1,1,,,4,FALSE
4/2/2021,2021,4,2,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
4/3/2021,2021,4,3,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/4/2021,2021,4,4,Sunday,Easter Sunday,,1,1,,,1,,1,4,FALSE
4/5/2021,2021,4,5,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2021,2021,4,25,Sunday,ANZAC Day,,,1,,1,1,1,1,5,FALSE
4/26/2021,2021,4,26,Monday,ANZAC Day Observance,1,1,1,1,,,1,,5,FALSE
5/3/2021,2021,5,3,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
5/31/2021,2021,5,31,Monday,Reconciliation Day,,,1,,,,,,1,FALSE
6/7/2021,2021,6,7,Monday,Western Australia Day,,,,,,,1,,1,FALSE
6/14/2021,2021,6,14,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE
8/2/2021,2021,8,2,Monday,Picnic Day,,,,1,,,,,1,FALSE
9/24/2021,2021,9,24,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE
9/27/2021,2021,9,27,Monday,Queen's Birthday,,,,,,,1,,1,FALSE
10/4/2021,2021,10,4,Monday,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE
10/21/2021,2021,10,21,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
10/29/2021,2021,10,29,Friday,People's long weekend (replaces Royal Queensland Show),,1,,,,,,,1,FALSE
11/2/2021,2021,11,2,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2021,2021,12,25,Saturday,Christmas Day,,1,1,1,1,1,1,1,7,FALSE
12/26/2021,2021,12,26,Sunday,Boxing Day,,1,1,1,,1,1,1,6,FALSE
12/27/2021,2021,12,27,Monday,Christmas Day Observance,1,1,1,1,1,1,1,1,8,TRUE
12/28/2021,2021,12,28,Tuesday,Boxing Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/1/2022,2022,1,1,Saturday,New Year's Day,,1,1,1,,1,1,1,6,FALSE
1/3/2022,2022,1,3,Monday,New Year's Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/26/2022,2022,1,26,Wednesday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/14/2022,2022,2,14,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/7/2022,2022,3,7,Monday,Labour Day,,,,,,,1,,1,FALSE
3/14/2022,2022,3,14,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
4/15/2022,2022,4,15,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
4/16/2022,2022,4,16,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/17/2022,2022,4,17,Sunday,Easter Sunday,,1,1,1,,1,1,1,6,FALSE
4/18/2022,2022,4,18,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2022,2022,4,25,Monday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
5/2/2022,2022,5,2,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
5/30/2022,2022,5,30,Monday,Reconciliation Day,,,1,,,,,,1,FALSE
6/6/2022,2022,6,6,Monday,Western Australia Day,,,,,,,1,,1,FALSE
6/13/2022,2022,6,13,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE
8/1/2022,2022,8,1,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/10/2022,2022,8,10,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
9/23/2022,2022,9,23,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE
