Address,Address-Wikidata,Address-Wiki-URI,DockBikes,FreeBases,Name,Name-Wikidata,Name-URI-Wikidata,number,TotalBases,POINT_X,POINT_Y
Calle de Cebreros,Calle de Cebreros,,3,20,"Cebreros, 97","Cebreros, 97",,328,23,"-3,752192","40,403238"
Calle Alhambra,Calle Alhambra,,12,11,Metro Laguna,Metro Laguna,,329,23,"-3,744452","40,398816"
Calle Duquesa de Parcent,Calle Duquesa de Parcent,,11,12,Duquesa de Parcent - Marcelino Castillo,Duquesa de Parcent - Marcelino Castillo,,330,23,"-3,744728","40,395002"
Calle Valmojado,Calle Valmojado,,11,13,Valmojado,Valmojado,,331,24,"-3,757572","40,396496"
Calle de los Yébenes,Calle de los Yébenes,,0,23,"Los Yébenes, 159","Los Yébenes, 159",,332,23,"-3,751817","40,393028"
Avenida de Oporto,Avenida de Oporto,,20,3,Metro Oporto,Metro Oporto,,363,23,"-3,729873","40,387451"
Avenida de Oporto,Avenida de Oporto,,13,10,Metro Opañel,Metro Opañel,,364,23,"-3,723781","40,385507"
Calle de Boj,Calle de Boj,,8,15,Boj,combat,,536,23,"-3,618082","40,45602"
Avenida de Machupichu,"Avenida de Machupichu, Madrid",https://www.wikidata.org/entity/Q28971955,16,11,Plaza López de la Plata,Plaza López de la Plata,,537,27,"-3,625794","40,458415"
Calle de Haendel,Calle de Haendel,,17,10,"Haendel, 8","Haendel, 8",,538,27,"-3,625321","40,462751"
Calle Illescas,Calle Illescas,,0,23,Illescas - Camarena,Illescas - Camarena,,333,23,"-3,756232","40,392175"
Avenida Plaza de Toros,Avenida Plaza de Toros,,15,8,Palacio Vistalegre Arena,Palacio Vistalegre,,365,23,"-3,737259","40,385372"
Paseo de Marcelino Camacho,paseo de Marcelino Camacho,https://www.wikidata.org/entity/Q53414018,23,0,Metro Carabanchel,Madrid Metro in Carabanchel,,366,23,"-3,744521","40,387737"
Avenida Alfonso XIII,"Avenida de Alfonso XIII, Madrid",https://www.wikidata.org/entity/Q29397736,16,7,Plaza José María Soler,Plaza José María Soler,,291,23,"-3,667903","40,458665"
Calle Pradillo,calle de Pradillo,https://www.wikidata.org/entity/Q55868790,7,16,Centro Deportivo Municipal Pradillo,Centro Deportivo Municipal Pradillo,,292,23,"-3,671794","40,449041"
Arturo Soria,Arturo Soria,,7,16,Metro Pinar de Chamartín,Metro Pinar de Chamartín,,494,23,"-3,666529","40,480694"
Calle Juan Ignacio Luca de Tena,Calle Juan Ignacio Luca de Tena,,21,6,Juan Ignacio Luca Tena - Quinta Molinos,Juan Ignacio Luca Tena - Quinta Molinos,,516,27,"-3,631103","40,447968"
Calle Eugenia de Montijo,Calle Eugenia de Montijo,,14,1,Eugenia de Montijo,Eugenia de Montijo,,368,15,"-3,747061","40,379102"
Plaza De la Parroquia,Plaza De la Parroquia,,4,19,Junta Municipal Distrito de Carabanchel,Junta Municipal Distrito de Carabanchel,,369,23,"-3,741583","40,380245"
Calle de Avefria,Calle de Avefria,,1,22,Avefría - Plaza de Tarifa,Avefría - Plaza de Tarifa,,370,23,"-3,730802","40,383869"
