Address,DockBikes,FreeBases,Name,number,TotalBases,POINT_X,POINT_Y
avenida córdoba,21,2,Metro Almendrales,392,23,-3.697856,40.38268
"calle candilejas,19,4,""Candilejas, 5"",420,23,-3.663004,40.382636"
calle puerto de balbarán,17,10,Estación de tren de El Pozo,419,27,-3.655868,40.376237
calle cabeza de mesada,15,12,Cabeza Mesada - Parque de Valdeperdices,439,27,-3.629413,40.376479
avenida de orovilla,23,4,Orovilla - Felicidad,398,27,-3.6895,40.3587
avenida monforte de lemos,16,7,C. Deportivo Mpal. Vicente del Bosque,569,23,-3.6965,40.4795
calle melchor fernandez almagro,16,7,Melchor Fernández Almagro - Plaza Tuy,571,23,-3.710326,40.475648
"calle valle de mena,2,21,""Valle de Mena, 5"",304,23,-3.715272,40.469627"
calle del cobre,17,6,Metro Arganzuela-Planetario,268,23,-3.689031,40.393383
paseo de la florida,10,13,Intercambiador de Príncipe Pío B,305,23,-3.723178,40.422761
avenida del santo ángel de la guarda,2,21,Centro Deportivo Mpal Fernando Martín,306,23,-3.712197,40.461796
calle serrano galvache,18,5,Serrano Galvache - Arturo Soria,486,23,-3.667938,40.471382
calle de puertollano,18,5,Puertollano - Veinticinco de Septiembre,502,23,-3.623737,40.442516
calle gallegos,16,11,Gallegos - Lavadero Viejo,462,27,-3.610275,40.402404
calle arroyo del olivar,2,22,Arroyo del Olivar - Buenos Aires,421,24,-3.653269,40.388435
calle manuel uribe,9,14,Manuel Uribe - Arturo Soria,487,23,-3.665034,40.464341
",1,23,""Travesia de Palomeras, 7"",422,24,-3.670518,40.39017"
avenida de entrevias,11,13,Estación de tren Asamblea de Madrid,423,24,-3.66855,40.381388
"camino de valderribas,17,7,""Camino de Valderribas, 47"",424,24,-3.663958,40.400223"
calle ramón pérez de ayala,5,19,Ramón Perez Ayala - Pque. Cerro Tío Pío,425,24,-3.65381,40.400035
calle humanes,18,6,Humanes - Benjamín Palencia,426,24,-3.649327,40.395212
"calle de los andaluces,13,11,""Andaluces, 2"",427,24,-3.641483,40.391424"
avenida la albufera,12,12,Estadio de Vallecas,428,24,-3.6571,40.3919
"calle manuel noya,18,6,""Manuel Noya , 29"",393,24,-3.711798,40.385379"
