stationId,addressType,addressName,addressNumber,latitude,longitude,altitude,districtId,districtName,neighborhoodId,neighborhoodName,postCode,capacity
f79c2028,PASSEIG,DE GARCIA FÀRIA,21,41.40065,2.21019,6,10,Sant Martí,69,Diagonal Mar I El Front Marítim Del Poblenou,8005,27
2b66e2e3,CARRER,LLULL,309,41.40652,2.20912,4,10,Sant Martí,69,Diagonal Mar I El Front Marítim Del Poblenou,8019,27
ddb2d6ae,PASSEIG,DE GARCIA FÀRIA,37,41.40321,2.2136,6,10,Sant Martí,69,Diagonal Mar I El Front Marítim Del Poblenou,8019,31
56289433,CARRER,ROSSELLÓ,557,41.41107,2.18097,33,10,Sant Martí,64,El Camp De L'arpa Del Clot,8026,38
5b51310c,PASSEIG,DE GARCIA FÀRIA,85,41.40536,2.21620,7,10,Sant Martí,69,Diagonal Mar I El Front Marítim Del Poblenou,8019,27
a993e28e,GRAN VIA,DE LES CORTS CATALANES,179,41.36755,2.13882,14,3,Sants-Montjuïc,16,La Bordeta,8014,50
377d1ee7,CARRER,SANT PERE D´ABANTO,2,41.37136,2.14356,18,3,Sants-Montjuïc,15,Hostafrancs,8014,33
7c8d7d1b,CARRER,GAVÀ,1,41.37236,2.14194,18,3,Sants-Montjuïc,16,La Bordeta,8014,30
e84d1d51,CARRER,QUETZAL,22,41.36754,2.13423,22,3,Sants-Montjuïc,16,La Bordeta,8014,27
f9f92ef2,,GAVÀ,81,41.37037,2.13894,20,3,Sants-Montjuïc,16,La Bordeta,8014,17
51e67e69,,CONSELL DE CENT,6,41.37555,2.14390,27,3,Sants-Montjuïc,15,Hostafrancs,8014,26
213ebc2f,CARRER,DE SANT PAU,89,41.37688,2.16982,5,1,Ciutat Vella,1,El Raval,8001,15
f4d0318a,PASSEIG,SANT ANTONI,,41.37569,2.13585,30,3,Sants-Montjuïc,18,Sants,8014,27
f384cc0b,CARRER,BRUC,130,41.39698,2.16618,34,2,Eixample,7,La Dreta De L'eixample,8037,28
13944e26,AVINGUDA,LITORAL,72,41.39614,2.20784,6,10,Sant Martí,68,El Poblenou,8005,29
419bd071,CARRER,ENTENÇA,137,41.38195,2.14747,15,2,Eixample,9,La Nova Esquerra De L'eixample,8015,37
f8772881,CARRER,JOAN GÜELL,50,41.37863,2.13354,33,3,Sants-Montjuïc,18,Sants,8028,21
2240cc14,CARRER,FÍGOLS,1,41.38129,2.12899,41,4,Les Corts,19,Les Corts,8028,27
5b831ac9,CARRER,JOAN GÜELL,98,41.38120,2.13236,38,4,Les Corts,19,Les Corts,8028,24
781bf0e0,CARRER,VALLESPIR,130,41.38213,2.13541,38,4,Les Corts,19,Les Corts,8014,27
efae4db4,CARRER,BERLÍN,38,41.38326,2.13926,38,3,Sants-Montjuïc,18,Sants,8029,27
