station_id,address,lat,lon,altitude,post_code,capacity
193,"C/ FÍGOLS, 1",41.3812979,2.1289917,41,8028,27
194,"C/ JOAN GÜELL, 98",41.3812001,2.1323612,38,8028,24
195,"C/ VALLESPIR, 130",41.3821371,2.1354149,38,8014,27
196,"C/ BERLÍN, 38",41.3832609,2.1392662,38,8029,27
197,"C/ GELABERT, 1",41.3871579,2.1410945,47,8029,27
198,"C/ VALLESPIR, 194",41.3847113,2.1334379,48,8014,27
199,"C/ MEJÍA LEQUERICA, 2",41.3819739,2.1268625,47,8028,27
200,"C/ JOAN GÜELL, 174",41.3839045,2.1312876,47,8028,24
201,"C/ NUMÀNCIA, 136",41.3878061,2.1344218,55,8029,24
202,"C/ DE LES CORTS, 20",41.3854466,2.1288753,52,8028,27
203,"AV. DIAGONAL, 668",41.3887069,2.1285766,64,8034,33
204,"AV. DIAGONAL, 672",41.3880355,2.1256248,63,8034,33
205,"C/ DE CAN SEGALAR, 4",41.3879413310938,2.13059591593856,NA,8028,37
206,"AV. DIAGONAL, 650",41.3897943,2.1328634,62,8017,33
207,"AV. DIAGONAL, 634",41.3908477,2.136579,62,8017,25
208,"AV. DIAGONAL, 630",41.3915195,2.1390667,59,8017,33
209,"C/ DIPUTACIÓ, 200",41.3857425,2.1610515,23,8011,26
210,"C/ VILARDELL, 18",41.3745238,2.1422556,22,8014,31
211,"C/ SANCHO DE ÁVILA, 60-64",41.3987543,2.1902116,5,8018,28
212,"AV. SARRIÀ, 163",41.3922355,2.1309272,75,8017,24
213,"C/ SANTA FE DE NOU MÈXIC, 2",41.3935816,2.1345892,70,8017,33
214,"C/ JOSÉ DE  AGULLÓ, 9",41.3952027,2.1334873,72,8017,25
215,"C/ GANDUXER, 29",41.3939378,2.1380304,65,8021,21
216,"C/ MADRAZO, 131",41.3967824,2.1445567,63,8021,27
217,"C/ RECTOR UBACH, 24",41.3985735,2.1440826,75,8021,27
218,"C/ CONSELL DE CENT, 566",41.4040364,2.183145,17,8013,39
219,"C/ LAFORJA, 74-76",41.3976165,2.1471724,67,8021,26
220,"C/ TUSET, 19",41.3960982,2.1513154,53,8006,26
221,"GRAN DE GRÀCIA, 155 (METRO FONTANA)",41.4025392,2.1524704,68,8012,24
222,"C/ DEL CANÓ, 1",41.4013296,2.1574439,58,8012,27
223,"C/ DE BONAVISTA, 14",41.3983444,2.1598243,48,8012,36
224,"C / GIRONA, 176",41.3999967,2.1644531,40,8037,26
225,"C/ VILADOMAT, 200",41.3848102114671,2.15080712464522,28,8029,25
226,"C/ MONTMANY, 1",41.4035608,2.1609345,52,8012,27
227,"C/ DEL TORRENT DE LES FLORS, 102",41.4078456,2.1586704,69,8024,18
228,"PL. DEL NORD, 5",41.4068417,2.1558354,73,8024,21
229,"C/ DE LA SANTACREU, 2 (PL. DE LA VIRREINA)",41.4050968,2.1569161,68,8024,28
230,"C/ DE NIL FABRA, 16-20",41.4059356,2.1517977,80,8012,26
231,"C/ PAU ALSINA, 54",41.4092005,2.16400285,65,8025,23
232,"C/ PALAUDÀRIES, 2",41.3744999703376,2.17302554571611,6,8004,27
233,"C/ NOU DE LA RAMBLA, 164",41.3719688,2.1667829,21,8004,27
234,"PG. DE L´EXPOSICIÓ, 38 | BLASCO GARAY",41.371532,2.162203,31,8004,27
235,"AV. PARAL.LEL, 98",41.3751767,2.1658972,10,8015,21
236,"AV. PARAL.LEL, 194",41.3751161,2.1523091,24,8015,26
237,"C/ RIUS I TAULET, 4",41.3727426,2.1539198,33,8004,27
238,"C/ ESPRONCEDA, 298",41.4158807,2.1908473,16,8027,27
239,"C/ INDÚSTRIA, 329",41.4172922,2.1844769,31,8027,35
240,"C/ JOSEP ESTIVILL, 32",41.4175595,2.1877153,23,8027,27
241,"C/ TEODOR LLORENTE, 1",41.419178,2.18018,44,8041,33
242,"C/ RAMON ALBÓ, 1",41.4244527,2.1773157,56,8027,27
243,"C/ ALEXANDRE GALÍ, 1-5",41.4239719,2.1812399,42,8027,27
244,"C/ FELIP II, 214",41.426925,2.1786224,44,8027,27
245,"LA RAMBLA, 101",41.3826647,2.1717083,10,8002,27
246,"C/ GARCILASO, 77",41.4228449,2.1866363,30,8027,18
247,"C/ FELIPE II, 112",41.4219291,2.1849107,32,8027,32
248,"C/ PALÈNCIA, 31",41.4182129,2.1904005,18,8027,27
249,"C/ ANTILLES, 8",41.4250835,2.1872818,21,8027,27
250,"C/ PORTUGAL, 3",41.4258248,2.191206,25,8027,27
251,"C/ CARDENAL TEDESCHINI, 13",41.4253643,2.1852073,35,8027,33
252,"RAMBLA DE L'ONZE DE SETEMBRE, 31",41.4298991,2.1932159,24,8030,33
253,"C/ ONZE DE SETEMBRE, 37-39",41.4298614,2.1922011,25,8030,27
254,"RAMBLA DE L'ONZE DE SETEMBRE, 69",41.4299999,2.190246,26,8030,26
255,"C/ IRLANDA, 34",41.4315,2.18579,30,8030,15
256,"C/ MALATS, 28-30",41.4361251,2.1894423,25,8030,32
257,"C/ SANT ADRIÀ, 2-8",41.433934,2.1896502,27,8030,24
258,"C/ FERNANDO PESSOA, 41",41.4419866639024,2.19295764171618,23.5,8030,27
259,"C/ DE BARTRINA, 14",41.4391174,2.1858025,34,8030,24
260,"CARRER DEL CINCA, 7",41.4356895,2.1920873,22,8030,27
261,"C/ VILLARROEL, 39",41.3821314,2.1606534,17,8011,32
262,"C/ ENTENÇA, 70",41.3790954665734,2.1516210083712,21,8015,24
263,"PG. TORRAS I BAGES, 29",41.4378773,2.1910691,23,8030,20
264,"C/REPÚBLICA DOMINICANA, 25 (CENTRO COMERCIAL)",41.439929,2.1970692,20,8030,32
265,"C/ CASANOVA, 55",41.3847738,2.1592566,23,8011,27
