barId,barName,barType,addressType,addressName,addressNumber,neighborhoodId,neighborhoodName,districtId,districtName,postCode,latitude,longitude
﻿75990334360,Sala Tarantos,Discoteques,PLAÇA,REIAL,17,2,El Barri Gòtic,1,Ciutat Vella,8002,41.37973,2.17528
﻿75990334365,Restaurant Tablao De Carmen *poble Espanyol,Tablaos Flamencs|Restaurants,AVINGUDA,FRANCESC FERRER I GUÀRDIA,13,11,El Poble-sec,3,Sants-Montjuïc,8038,41.36914,2.14674
﻿99400603947,Restaurant Tapas&beer,Karaokes|Restaurants,,G.V. CORTS CATALANES,640,7,La Dreta De L'eixample,2,Eixample,8007,41.38993,2.16937
﻿99400604213,Discoteca Pub Dixit 724,Bars I Pubs Musicals|Discoteques,CARRER,PALLARS,115,66,El Parc I La Llacuna Del Poblenou,10,Sant Martí,8018,41.39701,2.19199
﻿75990490801,Bar Musical La Concha,Bars I Pubs Musicals,CARRER,GUÀRDIA,14,1,El Raval,1,Ciutat Vella,8001,41.37769,2.17419
﻿75990145637,Bar Musical London Bar,Bars I Pubs Musicals,CARRER,NOU DE LA RAMBLA,34,1,El Raval,1,Ciutat Vella,8001,41.37814,2.17318
﻿99400676456,Bar Musical Sala Taro,Bars I Pubs Musicals,CARRER,DE ROSSEND ARÚS,9,18,Sants,3,Sants-Montjuïc,8014,41.37367,2.13740
﻿75990127095,Discoteca The Sutton Club Barcelona,Discoteques,CARRER,TUSET,13,26,Sant Gervasi - Galvany,5,Sarrià-sant Gervasi,8006,41.39601,2.15171
﻿75990176444,Bar Musical New Fizz Barcelona,Bars I Pubs Musicals|Cocteleries|Xampanyeries,,BALMES,83,8,L'antiga Esquerra De L'eixample,2,Eixample,8008,41.39102,2.16023
﻿75990356127,Discoteca Distrito Diagonal,Bars I Pubs Musicals|Discoteques,AVINGUDA,DIAGONAL,442,7,La Dreta De L'eixample,2,Eixample,8037,41.39708,2.16072
﻿75990410263,Bar Musical Dow Jones,Bars I Pubs Musicals,,BRUC,97,7,La Dreta De L'eixample,2,Eixample,8009,41.39557,2.16773
﻿92086017325,Discoteca Boulevard Culture Club,Discoteques,CARRER,LA RAMBLA,27,1,El Raval,1,Ciutat Vella,8002,41.37871,2.17527
﻿98289134934,Discoteca Undead Dark Club,Discoteques,CARRER,VIOLANT HONGRIA REINA ARAGÓ,128,18,Sants,3,Sants-Montjuïc,8028,41.37988,2.13333
