name,addresses_road_name,addresses_start_street_number,addresses_district_id,addresses_district_name,geo_epgs_4326_lat,geo_epgs_4326_lon
Bar Musical Brujas,C Mascaró,58,7,Horta-Guinardó,41.42258418527982,2.1734821454983106
Bar Musical Carita Bonita,C Balmes,71,2,Eixample,41.390364927111946,2.1611010301766593
Cocteleria Upiaywasi,C Allada-Vermell,11,1,Ciutat Vella,41.387013949661196,2.181087402797952
Cocteleria Upiaywasi,C Allada-Vermell,11,1,Ciutat Vella,41.387013949661196,2.181087402797952
Bar Musical Perifèric,C Tajo,5,7,Horta-Guinardó,41.43023628261143,2.163007312312215
Bar musical Mediterráneo,C Balmes,129,2,Eixample,41.39292132355964,2.1577280772488945
Bar Musical Macarena Club,C Nou de Sant Francesc,5,1,Ciutat Vella,41.379434851164376,2.1768342360455706
Bar Musical Macarena Club,C Nou de Sant Francesc,5,1,Ciutat Vella,41.379434851164376,2.1768342360455706
Bar musical El Local,Sant Eusebi,36,5,Sarrià-Sant Gervasi,41.40057310600014,2.1477703068298006
Ideal Cocktail's Bar,C Aribau,89,2,Eixample,41.38969390638597,2.1574798185172854
Ideal Cocktail's Bar,C Aribau,89,2,Eixample,41.38969390638597,2.1574798185172854
Bar Breston Club,Marià Cubí,111,5,Sarrià-Sant Gervasi,41.39680866255583,2.1476208307709657
Bar Musical Sugar,C Rauric,21,1,Ciutat Vella,41.38081200341269,2.175649781408531
Bar Musical Sugar,C Rauric,21,1,Ciutat Vella,41.38081200341269,2.175649781408531
Bar Musical Sugar,C Rauric,21,1,Ciutat Vella,41.38081200341269,2.175649781408531
Restaurant La Bodeguita del Poble *Poble Espanyol,Av Francesc Ferrer Guàrdia,25,3,Sants-Montjuïc,41.36914809976752,2.1467430809493484
Restaurant La Bodeguita del Poble *Poble Espanyol,Av Francesc Ferrer Guàrdia,25,3,Sants-Montjuïc,41.36914809976752,2.1467430809493484
Restaurant La Bodeguita del Poble *Poble Espanyol,Av Francesc Ferrer Guàrdia,25,3,Sants-Montjuïc,41.36914809976752,2.1467430809493484
Restaurant La Bodeguita del Poble *Poble Espanyol,Av Francesc Ferrer Guàrdia,25,3,Sants-Montjuïc,41.36914809976752,2.1467430809493484
Restaurant La Bodeguita del Poble *Poble Espanyol,Av Francesc Ferrer Guàrdia,25,3,Sants-Montjuïc,41.36914809976752,2.1467430809493484
Sala Bóveda,C Roc Boronat,33,10,Sant Martí,41.39844208848969,2.2000735297868075
Sala Bóveda,C Roc Boronat,33,10,Sant Martí,41.39844208848969,2.2000735297868075
Bar musical Alkimia Barcelona,C Amigó,35,5,Sarrià-Sant Gervasi,41.39514912999383,2.1445805836808725
Restaurant Cocteleria Ebano,Av Paral·lel,124,2,Eixample,41.37520631584879,2.161963381002588
Restaurant Cocteleria Ebano,Av Paral·lel,124,2,Eixample,41.37520631584879,2.161963381002588
Restaurant Fonda Balmes,C Balmes,175,5,Sarrià-Sant Gervasi,41.39618454722477,2.15347315067931
Restaurant Fonda Balmes,C Balmes,175,5,Sarrià-Sant Gervasi,41.39618454722477,2.15347315067931
Restaurant Fonda Balmes,C Balmes,175,5,Sarrià-Sant Gervasi,41.39618454722477,2.15347315067931
Cocteleria Casablanca,C Dos de Maig,277,2,Eixample,41.40895286868664,2.1794066495873743
Cocteleria Casablanca,C Dos de Maig,277,2,Eixample,41.40895286868664,2.1794066495873743
Bar Ultramarinos,C Sant Pau,126,1,Ciutat Vella,41.375585213310615,2.168031886207854
Bar Ultramarinos,C Sant Pau,126,1,Ciutat Vella,41.375585213310615,2.168031886207854
Bar Ultramarinos,C Sant Pau,126,1,Ciutat Vella,41.375585213310615,2.168031886207854
Discoteca Bembé,Viladomat,211,2,Eixample,41.38497193141125,2.1501654857940453
Discoteca Bembé,Viladomat,211,2,Eixample,41.38497193141125,2.1501654857940453
Shenanigans Irish Pub,Marquès de Barberà,11,1,Ciutat Vella,41.378684479508266,2.1725834152970993
Bar musical Arena Bar,Carassa,4,1,Ciutat Vella,41.38452866903529,2.180275833271697
Les Enfants,Guàrdia,3,1,Ciutat Vella,41.37807891865788,2.1737027964928317
Lounge Bar Restaurant Cirkuz Land,C Comerç,24,1,Ciutat Vella,41.3885044366227,2.181357200961683
Lounge Bar Restaurant Cirkuz Land,C Comerç,24,1,Ciutat Vella,41.3885044366227,2.181357200961683
Lounge Bar Restaurant Cirkuz Land,C Comerç,24,1,Ciutat Vella,41.3885044366227,2.181357200961683
Bar musical Konbe,C Deu i Mata,136,4,Les Corts,41.389975480807344,2.1384812970883083
Discoteca Louise se va,Pl Eivissa,11,7,Horta-Guinardó,41.43083189686833,2.160648914863765
Bar Musical Baroke,C Mallorca,492,2,Eixample,41.40664977805146,2.1797983650829615
Bar Musical Glaciar,Pl Reial,3,1,Ciutat Vella,41.38018745340412,2.1747234717977646
Restaurant La República,C Mercè,13,1,Ciutat Vella,41.380145554013005,2.1802835682089925
Restaurant La República,C Mercè,13,1,Ciutat Vella,41.380145554013005,2.1802835682089925
Restaurant La República,C Mercè,13,1,Ciutat Vella,41.380145554013005,2.1802835682089925
Restaurant Los Juanele,C Aldana,4,2,Eixample,41.3754940500759,2.1660050985516603
Restaurant Los Juanele,C Aldana,4,2,Eixample,41.3754940500759,2.1660050985516603
Sala Upload *Poble Espanyol,Av Francesc Ferrer Guàrdia,13,3,Sants-Montjuïc,41.36914809976752,2.1467430809493484
Sala Upload *Poble Espanyol,Av Francesc Ferrer Guàrdia,13,3,Sants-Montjuïc,41.36914809976752,2.1467430809493484
Discoteca Mandarina Delux,C València,335,2,Eixample,41.397335404089304,2.1692699976013006
Restaurant Cachitos Rambla,Rbla Catalunya,33,2,Eixample,41.38955542363021,2.1653172890490997
Restaurant Cachitos Rambla,Rbla Catalunya,33,2,Eixample,41.38955542363021,2.1653172890490997
Restaurant Cachitos Rambla,Rbla Catalunya,33,2,Eixample,41.38955542363021,2.1653172890490997
Bar musical Enigma,C Taquígraf Garriga,106,4,Les Corts,41.38845234264695,2.1365282421498586
Cocteleria P41 Bar & Coctelarium,C Marina,19,1,Ciutat Vella,41.387112550035134,2.1965735931050236
Cocteleria P41 Bar & Coctelarium,C Marina,19,1,Ciutat Vella,41.387112550035134,2.1965735931050236
Ebony Club,Av Doctor Marañón,17,4,Les Corts,41.38128475384014,2.1144500230834193
Bar Musical Cafè de les Arts,C València,234,2,Eixample,41.39028894095287,2.160279931341367
Bar Musical Cafè de les Arts,C València,234,2,Eixample,41.39028894095287,2.160279931341367
Cocteleria Bloody Mary,C Ferrer de Blanes,3,6,Gràcia,41.39838080141985,2.1592266897591372
Cocteleria Bloody Mary,C Ferrer de Blanes,3,6,Gràcia,41.39838080141985,2.1592266897591372
Bar Eldiset,C Antic de Sant Joan,3,1,Ciutat Vella,41.384997676677536,2.1834593112159237
Bar Eldiset,C Antic de Sant Joan,3,1,Ciutat Vella,41.384997676677536,2.1834593112159237
Elephant Restaurant & Lounge Club,C Pau Claris,92,2,Eixample,41.39027646369253,2.1705956409199136
Elephant Restaurant & Lounge Club,C Pau Claris,92,2,Eixample,41.39027646369253,2.1705956409199136
Cocteleria Caporal,C Escudellers,5,1,Ciutat Vella,41.37919573871951,2.1759054004849636
Cocteleria Caporal,C Escudellers,5,1,Ciutat Vella,41.37919573871951,2.1759054004849636
Restaurant Tierra Brava,Carrer de Casanova,133,2,Eixample,41.388505724567686,2.154540647914772
Restaurant Tierra Brava,Carrer de Casanova,133,2,Eixample,41.388505724567686,2.154540647914772
Restaurant Tierra Brava,Carrer de Casanova,133,2,Eixample,41.388505724567686,2.154540647914772
Discoteca La Biblio,C Moià,1,5,Sarrià-Sant Gervasi,41.39554458157321,2.152246304213008
Discoteca Bling Bling,C Tuset,8,5,Sarrià-Sant Gervasi,41.39562628105143,2.152642796992005
Bar Mil Miralls,C Perla,37,6,Gràcia,41.40404817002499,2.158022596085099
Bar Mil Miralls,C Perla,37,6,Gràcia,41.40404817002499,2.158022596085099
Bikini Barcelona,Av Diagonal,547,4,Les Corts,41.389745622801144,2.135399034259255
Bikini Barcelona,Av Diagonal,547,4,Les Corts,41.389745622801144,2.135399034259255
Irish Pub That's the Way,C Entença,85,2,Eixample,41.37944511035669,2.1507131940903763
Irish Pub That's the Way,C Entença,85,2,Eixample,41.37944511035669,2.1507131940903763
Irish Pub That's the Way,C Entença,85,2,Eixample,41.37944511035669,2.1507131940903763
Restaurant Nogg,C Tuset,30,5,Sarrià-Sant Gervasi,41.39644802383507,2.1515252971762155
Restaurant Nogg,C Tuset,30,5,Sarrià-Sant Gervasi,41.39644802383507,2.1515252971762155
Restaurant Nogg,C Tuset,30,5,Sarrià-Sant Gervasi,41.39644802383507,2.1515252971762155
