"station_id","name","physical_configuration","lat","lon","altitude","address","cross_street","post_code","capacity","is_charging_station","short_name","nearby_distance","x_ride_code_support","rental_uris","is_valet_station","last_updated","ttl"
405,"C/ COMTE BORRELL, 198","ELECTRICBIKESTATION",41.3854003,2.1521802,28,"C/ COMTE BORRELL, 198","02-Eixample/09-la Nova Esquerra de l'Eixample",8029,26,TRUE,405,1000,TRUE,NA,NA,1756677602,0
406,"GRAN VIA DE LES CORTS CATALANES, 592","ELECTRICBIKESTATION",41.3863747,2.1646697,21,"GRAN VIA DE LES CORTS CATALANES, 592","02-Eixample/07-la Dreta de l'Eixample",8007,33,TRUE,406,1000,TRUE,NA,NA,1756677602,0
408,"C/ RAMON TRIAS FARGAS, 23","ELECTRICBIKESTATION",41.3889972,2.1923283,5,"C/ RAMON TRIAS FARGAS, 23","10-SantMartí/67-la Vila Olímpica del Poblenou",8005,39,TRUE,408,1000,TRUE,NA,NA,1756677602,0
409,"C/ JOAN D'ÀUSTRIA, 31B","ELECTRICBIKESTATION",41.392384,2.1925059,5,"C/ JOAN D'ÀUSTRIA, 31B","10-SantMartí/67-la Vila Olímpica del Poblenou",8005,27,TRUE,409,1000,TRUE,NA,NA,1756677602,0
410,"PG.DE COLOM (LES RAMBLES)","ELECTRICBIKESTATION",41.376433,2.17871,5,"PG.DE COLOM (LES RAMBLES)","01-CiutatVella/02-el Barri Gòtic",8039,38,TRUE,410,1000,TRUE,NA,NA,1756677602,0
411,"C/ JOSEP PLA, 67","ELECTRICBIKESTATION",41.411381,2.2122054,4,"C/ JOSEP PLA, 67","10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou",8019,24,TRUE,411,1000,TRUE,NA,NA,1756677602,0
412,"PL. URQUINAONA, 3","ELECTRICBIKESTATION",41.3893094,2.1727457,17,"PL. URQUINAONA, 3","02-Eixample/07-la Dreta de l'Eixample",8010,27,TRUE,412,1000,TRUE,NA,NA,1756677602,0
413,"C/ BRUC, 66","ELECTRICBIKESTATION",41.393489,2.1707419,24,"C/ BRUC, 66","02-Eixample/07-la Dreta de l'Eixample",8009,32,TRUE,413,1000,TRUE,NA,NA,1756677602,0
414,"C/ CASP, 67","ELECTRICBIKESTATION",41.3937234,2.1764275,16,"C/ CASP, 67","02-Eixample/07-la Dreta de l'Eixample",8010,33,TRUE,414,1000,TRUE,NA,NA,1756677602,0
415,"RAMBLA DEL RAVAL, 13","ELECTRICBIKESTATION",41.3793558,2.1689592,8,"RAMBLA DEL RAVAL, 13","01-CiutatVella/01-el Raval",8001,25,TRUE,415,1000,TRUE,NA,NA,1756677602,0
416,"RAMBLA DEL RAVAL, 20","ELECTRICBIKESTATION",41.3781065,2.1696744,6,"RAMBLA DEL RAVAL, 20","01-CiutatVella/01-el Raval",8001,26,TRUE,416,1000,TRUE,NA,NA,1756677602,0
417,"C/ VILLAR, 2","ELECTRICBIKESTATION",41.4164824,2.1801094,46,"C/ VILLAR, 2","07-Horta-Guinardó/35-el Guinardó",8041,32,TRUE,417,1000,TRUE,NA,NA,1756677602,0
418,"PG. DE LLUíS COMPANYS (ARC DE TRIOMF)","ELECTRICBIKESTATION",41.391062,2.1801142,10,"PG. DE LLUíS COMPANYS (ARC DE TRIOMF)","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8018,27,TRUE,418,1000,TRUE,NA,NA,1756677602,0
419,"PG. DE LLUIS COMPANYS (ARC DE TRIOMF )","ELECTRICBIKESTATION",41.391313,2.1808391,10,"PG. DE LLUIS COMPANYS (ARC DE TRIOMF)","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8018,33,TRUE,419,1000,TRUE,NA,NA,1756677602,0
